225
35 40
1 6 3
1 7 3
2 4 3
3 3 3
3 5 3
3 7 3
4 4 3
4 5 3
4 6 3
4 8 3
4 31 1
4 32 1
5 3 3
5 5 3
5 7 3
5 29 1
5 30 1
6 4 3
6 5 3
6 8 3
6 9 3
6 10 3
6 25 1
6 26 1
6 28 1
6 29 1
7 2 3
7 4 3
7 5 3
7 6 3
7 8 3
7 24 1
7 26 1
7 29 1
7 30 1
8 2 3
8 3 3
8 4 3
8 5 3
8 7 3
8 22 1
8 24 1
8 25 1
8 27 1
8 28 1
8 29 1
8 31 1
8 32 1
9 3 3
9 6 3
9 7 3
9 8 3
9 9 3
9 20 1
9 23 1
9 24 1
9 26 1
9 29 1
9 32 1
9 33 1
10 2 3
10 3 3
10 5 3
10 7 3
10 8 3
10 10 3
10 19 1
10 22 1
10 25 1
10 27 1
10 28 1
10 30 1
10 31 1
10 33 1
10 34 1
11 4 3
11 5 3
11 7 3
11 9 3
11 12 3
11 22 1
11 23 1
11 27 1
11 30 1
11 31 1
12 3 3
12 4 3
12 6 3
12 7 3
12 10 3
12 11 3
12 25 1
12 27 1
12 29 1
12 31 1
13 5 3
13 6 3
13 8 3
13 9 3
13 24 1
13 26 1
13 28 1
13 30 1
13 32 1
13 33 1
14 7 3
14 25 1
14 26 1
14 30 1
14 32 1
14 33 1
15 4 3
15 5 3
15 9 3
15 10 3
15 21 1
15 23 1
15 26 1
15 28 1
15 29 1
15 31 1
15 32 1
16 7 3
16 24 1
16 27 1
16 29 1
16 30 1
17 26 1
17 28 1
17 31 1
17 32 1
18 27 1
18 29 1
19 24 1
19 28 1
22 7 2
22 10 2
23 28 4
24 3 2
24 4 2
24 6 2
24 7 2
24 8 2
25 5 2
25 6 2
25 28 4
26 4 2
26 7 2
26 8 2
26 27 4
26 28 4
26 29 4
26 30 4
27 3 2
27 5 2
27 6 2
27 7 2
27 8 2
27 24 4
27 25 4
27 28 4
27 29 4
28 4 2
28 6 2
28 7 2
28 9 2
28 10 2
28 11 2
28 12 2
28 14 2
28 23 4
28 24 4
28 25 4
28 26 4
28 29 4
28 30 4
29 2 2
29 3 2
29 5 2
29 6 2
29 7 2
29 8 2
29 24 4
29 25 4
29 28 4
29 29 4
29 31 4
29 32 4
30 4 2
30 5 2
30 7 2
30 10 2
30 11 2
30 20 4
30 23 4
30 24 4
30 26 4
30 27 4
30 32 4
30 33 4
31 3 2
31 5 2
31 6 2
31 9 2
31 10 2
31 26 4
31 27 4
31 29 4
31 30 4
31 33 4
31 34 4
32 2 2
32 3 2
32 6 2
32 7 2
32 25 4
32 26 4
32 28 4
32 29 4
32 32 4
32 33 4
33 26 4
33 27 4
33 30 4
33 31 4
